"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Knapsack", "What is the general goal of the Knapsack?", "A. To find the shortest path in a graph.", "B. To select items with given weights and values to maximize total value within a weight capacity.", "C. To sort a list of items efficiently.", "D. To find all possible combinations of items.", "B"
"Knapsack", "What are the two main types of the Knapsack?", "A. Single and Multiple.", "B. Fractional and 0/1.", "C. Bounded and Unbounded.", "D. Static and Dynamic.", "B"
"Knapsack", "Which algorithm design paradigm is commonly used to solve the 0/1 Knapsack?", "A. Greedy Algorithm", "B. Divide and Conquer", "C. Dynamic Programming", "D. Backtracking", "C"
"Knapsack", "Which algorithm design paradigm is commonly used to solve the Fractional Knapsack?", "A. Greedy Algorithm", "B. Divide and Conquer", "C. Dynamic Programming", "D. Backtracking", "A"
"Knapsack", "In the 0/1 Knapsack, what does '0/1' signify?", "A. Items can be taken zero or one time (i.e., entirely or not at all).", "B. The solution has a 0% or 100% chance of being optimal.", "C. There are only two types of items.", "D. The weight capacity is either 0 or 1.", "A"
"Knapsack", "In the Fractional Knapsack, what does 'Fractional' signify?", "A. Items can be broken into fractions.", "B. The weight capacity can be a fraction.", "C. The value of items can be a fraction.", "D. The problem is solved using fractions.", "A"
"Knapsack", "For the Fractional Knapsack, what is the greedy strategy?", "A. Always pick the item with the highest value.", "B. Always pick the item with the smallest weight.", "C. Always pick the item with the highest value-to-weight ratio.", "D. Always pick the item with the lowest value-to-weight ratio.", "C"
"Knapsack", "Why does the greedy approach work for Fractional Knapsack but not always for 0/1 Knapsack?", "A. Because items can be split, maximizing value density locally leads to global optimum.", "B. Because it's simpler to implement.", "C. Because it uses less memory.", "D. Because it has fewer constraints.", "A"
"Knapsack", "What is the time complexity of the greedy approach for Fractional Knapsack with `N` items?", "A. O(1)", "B. O(log N)", "C. O(N) (if items are already sorted by ratio)", "D. O(N log N) (due to sorting items by value-to-weight ratio).", "D"
"Knapsack", "The 0/1 Knapsack is an example of what type of computational problem?", "A. P-problem", "B. NP-complete problem", "C. Polynomial time problem", "D. Logarithmic time problem", "B"
"Knapsack", "What is the typical time complexity for solving the 0/1 Knapsack using dynamic programming with `N` items and a capacity `W`?", "A. O(N)", "B. O(W)", "C. O(N + W)", "D. O(N * W)", "D"
"Knapsack", "What does the `dp[i][w]` entry in a 2D DP table for 0/1 Knapsack typically represent?", "A. The maximum value that can be obtained with first `i` items and weight capacity `w`.", "B. The weight of the `i`-th item with value `w`.", "C. The number of items that can fit into capacity `w`.", "D. The minimum weight to achieve value `w` with `i` items.", "A"
"Knapsack", "What is the base case for the 0/1 Knapsack DP table?", "A. `dp[0][w] = 0` for all `w`, and `dp[i][0] = 0` for all `i`.", "B. `dp[0][0] = 1`.", "C. All `dp` values are initialized to infinity.", "D. The last row and column are 0.", "A"
"Knapsack", "In the 0/1 Knapsack DP recurrence relation, if item `i`'s weight `wi` is greater than current capacity `w`, what is `dp[i][w]` equal to?", "A. `dp[i-1][w]` (exclude item `i`).", "B. `value[i] + dp[i-1][w - wi]` (include item `i`).", "C. `0`.", "D. `infinity`.", "A"
"Knapsack", "In the 0/1 Knapsack DP recurrence relation, if item `i`'s weight `wi` is less than or equal to current capacity `w`, what is `dp[i][w]` equal to?", "A. `value[i] + dp[i-1][w - wi]`", "B. `dp[i-1][w]`", "C. `max(dp[i-1][w], value[i] + dp[i-1][w - wi])`", "D. `min(dp[i-1][w], value[i] + dp[i-1][w - wi])`", "C"
"Knapsack", "What is the space complexity of the 2D DP approach for 0/1 Knapsack?", "A. O(N)", "B. O(W)", "C. O(N * W)", "D. O(1)", "C"
"Knapsack", "Can the space complexity of the 0/1 Knapsack DP be optimized to O(W)?", "A. No, it's impossible.", "B. Yes, by using only two rows (current and previous) or a single 1D array.", "C. Only if N is very small.", "D. Only if W is very small.", "B"
"Knapsack", "When optimizing 0/1 Knapsack DP to O(W) space, which direction should the inner loop iterate for weights to avoid using the current item multiple times?", "A. From 1 to W.", "B. From W down to 1.", "C. It doesn't matter.", "D. Randomly.", "B"
"Knapsack", "What is the main characteristic that makes 0/1 Knapsack suitable for dynamic programming?", "A. Optimal Substructure and Overlapping Subproblems.", "B. Greedy Choice Property.", "C. Divide and Conquer principle.", "D. Backtracking nature.", "A"
"Knapsack", "The Unbounded Knapsack (also known as Complete Knapsack) allows:", "A. Only one of each item.", "B. Any number of each item.", "C. Only fractions of items.", "D. Items to be taken negative times.", "B"
"Knapsack", "What is the difference in the DP recurrence for Unbounded Knapsack compared to 0/1 Knapsack?", "A. In 0/1, we use `dp[i-1]` for both choices; in Unbounded, for including an item, we use `dp[i]` (or `dp[current_item]` in 1D space) instead of `dp[i-1]` for the remaining capacity, allowing reuse.", "B. Unbounded uses a different base case.", "C. Unbounded uses a `min` instead of `max`.", "D. There is no DP solution for Unbounded.", "A"
"Knapsack", "Consider a 0/1 Knapsack with Capacity W=5, Items: (Value=60, Weight=10), (Value=100, Weight=20), (Value=120, Weight=30). What is the maximum value?", "A. 0 (no items fit)", "B. 60", "C. 100", "D. 120", "A"
"Knapsack", "Consider a 0/1 Knapsack with Capacity W=50, Items: (Value=60, Weight=10), (Value=100, Weight=20), (Value=120, Weight=30). What is the maximum value?", "A. 160 (60+100)", "B. 180 (60+120)", "C. 220 (100+120)", "D. 280 (60+100+120)", "C"
"Knapsack", "Which of the following is NOT an application of the Knapsack?", "A. Resource allocation.", "B. Portfolio optimization.", "C. Cutting stock problem.", "D. Finding shortest paths in unweighted graphs.", "D"
"Knapsack", "If all items in a 0/1 Knapsack have the same weight, does the greedy approach (picking highest value first) work?", "A. Yes, always.", "B. No, never.", "C. Only if the weight is 1.", "D. Only if the capacity is very large.", "A"
"Knapsack", "If all items in a 0/1 Knapsack have the same value, does the greedy approach (picking smallest weight first) work?", "A. Yes, always.", "B. No, never.", "C. Only if the value is 1.", "D. Only if the capacity is very small.", "A"
"Knapsack", "What is the state space of the 0/1 Knapsack for N items and capacity W?", "A. N", "B. W", "C. N*W", "D. 2^N", "D"
"Knapsack", "Why is the 0/1 Knapsack considered NP-complete?", "A. Because its time complexity is O(N*W), which is polynomial if W is small.", "B. Because no known polynomial-time algorithm exists for arbitrary inputs (in terms of N and W).", "C. Because it has only two choices for each item.", "D. Because it is a minimization problem.", "B"
"Knapsack", "Can the 0/1 Knapsack be solved with a greedy approach if items are sorted by value-to-weight ratio?", "A. Yes, always.", "B. No, a greedy approach on ratio does not guarantee optimality for 0/1 Knapsack.", "C. Only if all weights are equal.", "D. Only if all values are equal.", "B"
"Knapsack", "What is a 'bounded' knapsack?", "A. Each item can be taken at most once.", "B. Each item can be taken any number of times.", "C. Each item can be taken a specific limited number of times.", "D. Only a specific number of items can be taken in total.", "C"
"Knapsack", "How can the Bounded Knapsack be transformed into a 0/1 Knapsack?", "A. By ignoring the bounds.", "B. By creating multiple copies of each item up to its bound, then treating each copy as a unique 0/1 item.", "C. By changing the values of the items.", "D. It cannot be transformed.", "B"
"Knapsack", "What is the memory required for the optimal O(W) space solution for 0/1 Knapsack?", "A. Proportional to the number of items.", "B. Proportional to the knapsack capacity.", "C. Proportional to the product of items and capacity.", "D. Constant memory.", "B"
"Knapsack", "Which type of recurrence relation is typical for dynamic programming solutions to Knapsack?", "A. Linear recurrence.", "B. Recursive definition with memoization.", "C. Exponential recurrence.", "D. Logarithmic recurrence.", "B"
"Knapsack", "Consider a Knapsack where items have weights but no values. The goal is to fill the knapsack as much as possible. This is a variant of:", "A. Subset Sum Problem.", "B. Change-making problem.", "C. Maximum Flow Problem.", "D. Traveling Salesperson Problem.", "A"
"Knapsack", "What does 'Pseudo-polynomial' time complexity mean for 0/1 Knapsack (O(N*W))?", "A. It's truly polynomial time.", "B. It's polynomial in the numerical value of the input (W), but exponential in the number of bits needed to represent W.", "C. It's always exponential.", "D. It's a non-deterministic polynomial time.", "B"
"Knapsack", "What happens if an item's weight is 0 in the 0/1 Knapsack?", "A. It causes an error.", "B. It can always be included without penalty, potentially leading to infinite value if value > 0 and unlimited items.", "C. It's treated as weight 1.", "D. It is ignored.", "B"
"Knapsack", "In a scenario where you have a list of tasks, each with a deadline and profit, and you want to maximize total profit by doing tasks that finish by their deadline (one task at a time). This is related to:", "A. Knapsack.", "B. Activity Selection Problem.", "C. Job Sequencing with Deadlines.", "D. Minimum Spanning Tree.", "C"
"Knapsack", "What is the primary constraint in a typical Knapsack?", "A. Time constraint.", "B. Weight/Capacity constraint.", "C. Number of items constraint.", "D. Value constraint.", "B"
"Knapsack", "If all item weights are very small (e.g., 1 or 2), does the DP solution for 0/1 Knapsack become faster?", "A. No, it remains O(N*W).", "B. Yes, effectively making W smaller in terms of operations related to item weights.", "C. Only if N is also small.", "D. It becomes O(N).", "A"
"Knapsack", "Which of these is NOT a characteristic of problems solvable by a greedy algorithm?", "A. Optimal Substructure.", "B. Greedy Choice Property.", "C. Overlapping Subproblems.", "D. Can sometimes provide a non-optimal solution (for problems where it's not applicable).", "C"
"Knapsack", "The term 'knapsack' refers to:", "A. A type of mathematical equation.", "B. A bag or backpack with a limited carrying capacity.", "C. A specific type of graph.", "D. A data structure.", "B"
"Knapsack", "For the 0/1 Knapsack, if the maximum capacity `W` is very large, but the number of items `N` is small, what alternative approach might be considered over standard DP?", "A. Brute force (2^N).", "B. Meet-in-the-Middle (dividing N items into two halves).", "C. Greedy approach.", "D. Graph traversal.", "B"
"Knapsack", "What if a 0/1 Knapsack specifies that only a fixed number of items `K` must be chosen?", "A. Standard DP can be adapted with an additional dimension for `k` items chosen.", "B. It becomes a simpler problem.", "C. It becomes impossible to solve.", "D. It can only be solved by a greedy approach.", "A"
"Knapsack", "The concept of 'profit' in Knapsack is equivalent to:", "A. Weight.", "B. Value.", "C. Volume.", "D. Cost.", "B"
"Knapsack", "In the 0/1 Knapsack, if an item's weight `wi` is equal to the current capacity `w`, the DP decision still involves:", "A. Only excluding the item.", "B. Only including the item.", "C. Taking the maximum of (excluding item) and (including item, if it fits).", "D. Summing values.", "C"
"Knapsack", "If you have a set of coins and a target amount, and you want to find the minimum number of coins to make that amount (with unlimited supply of each coin), this is similar to:", "A. 0/1 Knapsack (Coin Change DP - minimizing coins, not maximizing value).", "B. Unbounded Knapsack (Coin Change DP - minimizing coins, not maximizing value).", "C. Fractional Knapsack.", "D. Longest Common Subsequence.", "B"
"Knapsack", "What is the 'subset sum problem'?", "A. Finding a subset of numbers that sums to a specific target value (a decision problem related to 0/1 Knapsack).", "B. Finding the largest sum in an array.", "C. Summing all elements in a set.", "D. Finding subsets with maximum value.", "A"
"Knapsack", "Is the 0/1 Knapsack typically solved using recursion with memoization or iterative DP (bottom-up)?", "A. Only recursion with memoization.", "B. Only iterative DP.", "C. Both are valid and lead to the same complexity, iterative is often preferred for avoiding recursion depth limits.", "D. Neither, it's a greedy problem.", "C"
"Knapsack", "If all item weights and the knapsack capacity are integers, the 0/1 Knapsack DP solution works directly. True or False?", "A. True", "B. False", "A"
"Knapsack", "What is the output of a 0/1 Knapsack dynamic programming algorithm (typically)?", "A. The maximum value that can be put in the knapsack.", "B. A list of the items chosen.", "C. The remaining capacity.", "D. All possible combinations of items.", "A"
"LCS", "What does LCS stand for?", "A. Longest Common String", "B. Longest Connected Sequence", "C. Longest Common Subsequence", "D. Largest Current String", "C"
"LCS", "What is a 'subsequence'?", "A. A contiguous part of a sequence.", "B. A sequence that can be derived from another sequence by deleting some or no elements without changing the order of the remaining elements.", "C. A sequence that is shorter than the original sequence.", "D. A reversed sequence.", "B"
"LCS", "What is the primary goal of the LCS problem?", "A. To find the longest substring common to two sequences.", "B. To find the longest sequence that is a subsequence of two or more sequences.", "C. To check if two sequences are identical.", "D. To find the shortest common sequence.", "B"
"LCS", "Which algorithm design paradigm is typically used to solve the LCS problem?", "A. Greedy Algorithm", "B. Divide and Conquer", "C. Dynamic Programming", "D. Backtracking", "C"
"LCS", "If `X = 'ABCBDAB'` and `Y = 'BDCABA'`, what is the length of their LCS?", "A. 3", "B. 4", "C. 5", "D. 6", "C"
"LCS", "What is the time complexity of the standard dynamic programming solution for LCS with two sequences of lengths `m` and `n`?", "A. O(m + n)", "B. O(min(m, n))", "C. O(m * n)", "D. O(max(m, n))", "C"
"LCS", "What does the `dp[i][j]` entry in the LCS DP table typically represent?", "A. The length of the LCS of `X[0...i-1]` and `Y[0...j-1]`.", "B. The character at `X[i]` and `Y[j]`.", "C. The longest common substring of `X[0...i-1]` and `Y[0...j-1]`.", "D. The minimum cost to transform `X` to `Y`.", "A"
"LCS", "What are the base cases for the LCS DP table?", "A. `dp[0][j] = 0` for all `j`, and `dp[i][0] = 0` for all `i`.", "B. `dp[0][0] = 1`.", "C. All `dp` values initialized to infinity.", "D. The last row and column are 0.", "A"
"LCS", "In the LCS DP recurrence, if `X[i-1]` == `Y[j-1]` (characters match), what is `dp[i][j]` equal to?", "A. `dp[i-1][j]`", "B. `dp[i][j-1]`", "C. `1 + dp[i-1][j-1]`", "D. `0`", "C"
"LCS", "In the LCS DP recurrence, if `X[i-1]` != `Y[j-1]` (characters do not match), what is `dp[i][j]` equal to?", "A. `dp[i-1][j-1]`", "B. `max(dp[i-1][j], dp[i][j-1])`", "C. `1 + max(dp[i-1][j], dp[i][j-1])`", "D. `0`", "B"
"LCS", "What is the space complexity of the standard 2D DP solution for LCS with sequences of lengths `m` and `n`?", "A. O(1)", "B. O(min(m, n))", "C. O(m * n)", "D. O(m + n)", "C"
"LCS", "Can the space complexity of the LCS DP be optimized?", "A. No, it's impossible.", "B. Yes, to O(min(m, n)) by using only two rows (current and previous).", "C. Only if `m` is very small.", "D. Only if `n` is very small.", "B"
"LCS", "To reconstruct the actual LCS sequence, what additional information is often stored or derived?", "A. Only the length of the LCS.", "B. A separate 'path' or 'direction' matrix that indicates which subproblem led to the optimal value at each cell.", "C. The original sequences.", "D. A hash map of common subsequences.", "B"
"LCS", "Is the LCS problem related to the Edit Distance (Levenshtein Distance) problem?", "A. No, they are unrelated.", "B. Yes, both involve transforming one string to another, and their DP solutions share similarities.", "C. Only if the strings are very short.", "D. Only if the strings are identical.", "B"
"LCS", "If two sequences have no common characters, what is the length of their LCS?", "A. 0", "B. 1", "C. -1", "D. Undefined", "A"
"LCS", "The LCS problem is an example of a problem exhibiting which properties?", "A. Greedy Choice Property and Optimal Substructure.", "B. Optimal Substructure and Overlapping Subproblems.", "C. Divide and Conquer and Memoization.", "D. Backtracking and Pruning.", "B"
"LCS", "Given `X = 'AGGTAB'` and `Y = 'GXTXAYB'`, which of the following is an LCS?", "A. `GTAB`", "B. `GTXB`", "C. `GTAGB`", "D. `AGTB`", "C"
"LCS", "What is the length of LCS for `X = 'AAAA'` and `Y = 'AA'`?", "A. 0", "B. 2", "C. 4", "D. 6", "B"
"LCS", "Can the LCS be unique?", "A. Yes, always.", "B. No, there can be multiple LCSs of the same length.", "C. Only if the sequences are identical.", "D. Only if the sequences are very short.", "B"
"LCS", "Which of the following is NOT an application of LCS?", "A. Diff utility (comparing files).", "B. Bioinformatics (comparing DNA/protein sequences).", "C. Version control systems (e.g., Git).", "D. Finding the shortest path in a graph.", "D"
"LCS", "If `X` is a subsequence of `Y`, what is `LCS(X, Y)`?", "A. `Y`", "B. `X`", "C. Empty string", "D. The length of `X` + length of `Y`", "B"
"LCS", "If `X` and `Y` are completely different (no common characters), their LCS length is 0. True or False?", "A. True", "B. False", "A"
"LCS", "Can LCS be solved using a greedy approach?", "A. Yes, always.", "B. No, because a local optimal choice (e.g., matching the first common character) does not guarantee a global optimum.", "C. Only for very short strings.", "D. Only if there are no overlapping characters.", "B"
"LCS", "What is the relationship between LCS and Longest Common Substring?", "A. They are the same problem.", "B. LCS considers non-contiguous characters; Longest Common Substring requires contiguous characters.", "C. Longest Common Substring is always longer than LCS.", "D. LCS is always shorter than Longest Common Substring.", "B"
"LCS", "If `m = 0` (length of first sequence is zero), what is `dp[0][j]`?", "A. 1", "B. j", "C. 0", "D. m", "C"
"LCS", "The memoization table for LCS is usually filled in what manner?", "A. Top-down (recursive with memoization).", "B. Bottom-up (iterative).", "C. Both are valid approaches.", "D. Randomly.", "C"
"LCS", "Which type of problem is LCS?", "A. Decision problem.", "B. Optimization problem.", "C. Counting problem.", "D. Search problem.", "B"
"LCS", "If the LCS algorithm determines a length of `k`, how many characters are in the actual common subsequence?", "A. `k`", "B. `k-1`", "C. `k+1`", "D. `2k`", "A"
"LCS", "What is a major advantage of using dynamic programming for LCS over brute-force enumeration of all subsequences?", "A. It uses less memory.", "B. It is always O(1) time complexity.", "C. Brute-force is exponential (2^m * 2^n), DP is polynomial (m*n).", "D. Brute-force is not possible.", "C"
"LCS", "What is the value of `dp[m][n]` after the DP table is filled?", "A. The maximum common character.", "B. The length of the LCS of the entire `X` and `Y` sequences.", "C. The sum of all characters.", "D. The minimum common character.", "B"
"LCS", "Consider `X = 'ABC'` and `Y = 'ACB'`. What is the length of their LCS?", "A. 1", "B. 2", "C. 3", "D. 0", "B"
"LCS", "For `X = 'ABC'` and `Y = 'ACB'`, which of these is an LCS?", "A. `ABC`", "B. `AB`", "C. `AC`", "D. Both B and C", "D"
"LCS", "Can LCS be used to find the minimum number of insertions and deletions needed to transform one string into another?", "A. No, that's Edit Distance.", "B. Yes, `m + n - 2 * LCS_length` (for deletion and insertion only).", "C. Only if the strings are sorted.", "D. Only if there are no common characters.", "B"
"LCS", "The LCS problem is a classic example of applying which principle of dynamic programming?", "A. Principle of inclusion-exclusion.", "B. Principle of optimality.", "C. Principle of recursion.", "D. Principle of iteration.", "B"
"LCS", "When reconstructing the LCS, if `dp[i][j]` came from `dp[i-1][j-1]` (diagonal move), it implies:", "A. `X[i-1]` and `Y[j-1]` were different.", "B. `X[i-1]` and `Y[j-1]` were the same and form part of the LCS.", "C. The subsequence decreased in length.", "D. A new subsequence started.", "B"
"LCS", "When reconstructing the LCS, if `dp[i][j]` came from `dp[i-1][j]` (move up), it implies:", "A. `X[i-1]` was included in the LCS.", "B. `Y[j-1]` was included in the LCS.", "C. `X[i-1]` was NOT included in the LCS, and we consider the LCS of `X` excluding `X[i-1]` with full `Y`.", "D. A character was inserted.", "C"
"LCS", "When reconstructing the LCS, if `dp[i][j]` came from `dp[i][j-1]` (move left), it implies:", "A. `Y[j-1]` was included in the LCS.", "B. `X[i-1]` was included in the LCS.", "C. `Y[j-1]` was NOT included in the LCS, and we consider the LCS of full `X` with `Y` excluding `Y[j-1]`.", "D. A character was deleted.", "C"
"LCS", "What is the purpose of a `0` row and `0` column in the LCS DP table?", "A. To represent empty prefixes, serving as base cases.", "B. To store the initial values of the sequences.", "C. To indicate errors in the algorithm.", "D. To count the number of common characters.", "A"
"LCS", "Can LCS be applied to more than two sequences?", "A. No, only two.", "B. Yes, but the time complexity increases exponentially with the number of sequences (e.g., O(m*n*p) for three).", "C. Only if all sequences are of the same length.", "D. Only by breaking it down into pairwise LCS problems.", "B"
"LCS", "If `X = 'ABCDEFG'` and `Y = 'ACEG'`, what is the length of their LCS?", "A. 3", "B. 4", "C. 5", "D. 7", "B"
"LCS", "If `X = 'ABRACADABRA'` and `Y = 'ABRAKADABRA'`, what is the length of their LCS?", "A. 11", "B. 10", "C. 9", "D. 12", "B"
"LCS", "What is the typical time complexity for the brute-force approach to LCS?", "A. O(m*n)", "B. O(2^m * 2^n)", "C. O(min(2^m, 2^n))", "D. O(m+n)", "B"
"LCS", "The LCS problem demonstrates that a greedy approach is not always optimal for problems with optimal substructure. True or False?", "A. True", "B. False", "A"
"LCS", "For which type of sequences is LCS most commonly applied?", "A. Numerical sequences.", "B. String/character sequences.", "C. Boolean sequences.", "D. Image pixel sequences.", "B"
"LCS", "When filling the DP table for LCS, each cell `dp[i][j]` depends on at most how many other cells?", "A. 1", "B. 2 (left and up)", "C. 3 (left, up, and diagonal)", "D. 4", "C"
"LCS", "What is the main advantage of the O(min(m, n)) space optimization for LCS?", "A. Faster computation time.", "B. Reduced memory usage, crucial for very long strings.", "C. Simpler implementation.", "D. Better for parallel processing.", "B"
"LCS", "Which of the following problems can be reduced to LCS?", "A. Longest Increasing Subsequence (LIS).", "B. Shortest Common Supersequence (SCS).", "C. String Matching (e.g., KMP).", "D. All of the above.", "B"
"LCS", "If `LCS(A, B) = L`, then `SCS(A, B)` (Shortest Common Supersequence) length is `len(A) + len(B) - L`. True or False?", "A. True", "B. False", "A"
"LCS", "In the context of the LCS DP table, the values generally show what trend as `i` and `j` increase?", "A. Always decreasing.", "B. Always increasing (non-decreasing).", "C. Random fluctuations.", "D. Constant values.", "B"
"LCS", "To perform back-tracking and print one of the LCS, which direction do you typically move from `dp[m][n]`?", "A. Only left.", "B. Only up.", "C. Diagonally if characters match, else up or left.", "D. Randomly choose any valid path.", "C"
"LCS", "What is the maximum length an LCS can have for two sequences of length `m` and `n`?", "A. `m + n`", "B. `max(m, n)`", "C. `min(m, n)`", "D. `m * n`", "C"
"SudokuSolver", "What is the primary goal of a SudokuSolver?", "A. To generate new Sudoku puzzles.", "B. To find a single valid solution for a given Sudoku puzzle.", "C. To check if a Sudoku puzzle has multiple solutions.", "D. To analyze the difficulty of a Sudoku puzzle.", "B"
"SudokuSolver", "Which algorithm design paradigm is most commonly used for a SudokuSolver?", "A. Greedy Algorithm", "B. Divide and Conquer", "C. Dynamic Programming", "D. Backtracking", "D"
"SudokuSolver", "What is the size of a standard Sudoku grid?", "A. 4x4", "B. 6x6", "C. 9x9", "D. 12x12", "C"
"SudokuSolver", "What are the three fundamental rules a Sudoku solution must satisfy?", "A. Each row, column, and 3x3 subgrid must contain digits 1-9 exactly once.", "B. Each row, column, and 3x3 subgrid must contain only unique digits.", "C. Each row, column, and 3x3 subgrid must sum to 45.", "D. A and B.", "D"
"SudokuSolver", "When using a backtracking approach, what is the 'choice' at each step?", "A. Deciding which cell to fill first.", "B. Trying to place a digit (1-9) into an empty cell.", "C. Checking if the puzzle is valid.", "D. Removing a digit from a filled cell.", "B"
"SudokuSolver", "In a backtracking SudokuSolver, what happens if a chosen digit leads to an invalid state or a dead end?", "A. The solver declares the puzzle unsolvable.", "B. The solver backtracks to the previous decision point and tries a different digit.", "C. The solver randomly picks a new cell.", "D. The solver attempts to optimize the current digit.", "B"
"SudokuSolver", "What is the 'base case' or 'termination condition' for a recursive backtracking SudokuSolver?", "A. When all cells are filled.", "B. When a valid digit is placed in the first empty cell.", "C. When the solver runs out of time.", "D. When the puzzle becomes invalid.", "A"
"SudokuSolver", "How is an empty cell typically represented in a Sudoku grid (e.g., in code)?", "A. '0' or '.'", "B. '-1'", "C. 'null'", "D. 'empty'", "A"
"SudokuSolver", "What are the three constraints that need to be checked when placing a digit `d` in cell `(row, col)`?", "A. Row constraint, Column constraint, Diagonal constraint.", "B. Row constraint, Column constraint, 3x3 subgrid constraint.", "C. Row constraint, Column constraint, Sum constraint.", "D. Row constraint, Column constraint, Parity constraint.", "B"
"SudokuSolver", "What is the approach to check the 3x3 subgrid constraint for cell `(row, col)`?", "A. Check all cells in `[0...2][0...2]`.", "B. Check cells from `(row/3)*3` to `(row/3)*3 + 2` for rows, and `(col/3)*3` to `(col/3)*3 + 2` for columns.", "C. Check a fixed 3x3 subgrid.", "D. Sum all values in the subgrid.", "B"
"SudokuSolver", "Is a SudokuSolver guaranteed to find a solution if one exists?", "A. No, not always.", "B. Yes, a correct backtracking implementation systematically explores all possibilities.", "C. Only for easy puzzles.", "D. Only if it uses a greedy approach.", "B"
"SudokuSolver", "What is the worst-case time complexity of a brute-force SudokuSolver?", "A. Polynomial (e.g., N^2).", "B. Exponential (e.g., 9^M where M is the number of empty cells).", "C. Logarithmic.", "D. Linear.", "B"
"SudokuSolver", "How does 'pre-filling' cells (e.g., by checking obvious single-candidate cells) before starting backtracking help optimize a SudokuSolver?", "A. It guarantees a unique solution.", "B. It reduces the number of empty cells, thus reducing the search space for backtracking.", "C. It makes the puzzle harder.", "D. It converts the problem to a non-deterministic one.", "B"
"SudokuSolver", "What is 'Most Constrained Variable' (MCV) heuristic in Sudoku solving?", "A. Choosing the empty cell with the fewest possible valid digits to fill next.", "B. Choosing the empty cell with the most possible valid digits to fill next.", "C. Choosing the empty cell that appears first in row-major order.", "D. Choosing the empty cell that has the highest value filled in its neighbors.", "A"
"SudokuSolver", "What is 'Least Constraining Value' (LCV) heuristic in Sudoku solving?", "A. Trying digits in numerical order (1 to 9).", "B. Trying the digit that rules out the fewest options for neighboring unassigned cells.", "C. Trying the digit that is the smallest value.", "D. Trying the digit that is the largest value.", "B"
"SudokuSolver", "If a Sudoku puzzle has multiple solutions, what will a standard backtracking solver typically find?", "A. All possible solutions.", "B. The first solution it encounters.", "C. Only the easiest solution.", "D. It will loop infinitely.", "B"
"SudokuSolver", "Can a SudokuSolver be used to determine if a given Sudoku puzzle has a unique solution?", "A. No, it only finds one solution.", "B. Yes, by finding one solution, then modifying the puzzle slightly and trying to find a second solution, or by explicitly counting solutions.", "C. Only if the puzzle is small.", "D. Only if the puzzle is already solved.", "B"
"SudokuSolver", "What data structure is often used to represent the Sudoku grid in a solver?", "A. Linked List", "B. Stack", "C. 2D Array (or matrix)", "D. Hash Map", "C"
"SudokuSolver", "Why is it generally more efficient to choose an empty cell to fill rather than a filled one?", "A. Filled cells are irrelevant.", "B. Filling an empty cell directly contributes to solving the puzzle; filled cells already satisfy rules.", "C. To avoid infinite loops.", "D. To make the code simpler.", "B"
"SudokuSolver", "In backtracking, when a digit is tried in a cell, and it leads to a dead end, what is the crucial step before trying the next digit?", "A. Move to the next cell.", "B. 'Un-do' the last placement (set the cell back to empty) before backtracking.", "C. Reset the entire grid.", "D. Start from the beginning.", "B"
"SudokuSolver", "Consider a Sudoku cell `(r, c)`. Its 3x3 subgrid can be identified by its top-left cell `(startRow, startCol)`. What are these values?", "A. `(r % 3, c % 3)`", "B. `(r - (r % 3), c - (c % 3))`", "C. `(r / 3, c / 3)`", "D. `(r + 3, c + 3)`", "B"
"SudokuSolver", "What is the typical range of digits used in a standard Sudoku puzzle?", "A. 0-9", "B. 1-9", "C. A-I", "D. Any integers", "B"
"SudokuSolver", "What is the primary benefit of backtracking over a purely iterative approach for Sudoku?", "A. It's faster for all puzzles.", "B. It's inherently recursive, which is simpler to write.", "C. It systematically explores all valid paths until a solution is found or all paths are exhausted, handling complex dependencies.", "D. It uses less memory.", "C"
"SudokuSolver", "If a Sudoku puzzle has no empty cells, but it violates one or more Sudoku rules, what should a solver typically report?", "A. A solution found.", "B. No solution, or invalid initial puzzle.", "C. Puzzle is too easy.", "D. The solver crashed.", "B"
"SudokuSolver", "What is the concept of 'naked singles' or 'hidden singles' in advanced Sudoku solving techniques?", "A. Cells that can only contain one specific digit based on elimination (naked) or based on that digit only fitting in that cell within a row/col/block (hidden).", "B. Cells that are completely empty.", "C. Cells that have multiple solutions.", "D. Cells that are isolated from others.", "A"
"SudokuSolver", "Does a standard backtracking SudokuSolver inherently perform 'naked single' or 'hidden single' deductions?", "A. Yes, always.", "B. No, these are optimization heuristics or pre-processing steps, not part of basic backtracking's core logic.", "C. Only if specified.", "D. Only for easy puzzles.", "B"
"SudokuSolver", "What is the typical flow of a recursive backtracking SudokuSolver function?", "A. Find empty cell -> Try digits 1-9 -> If digit valid -> Recurse -> If true, return true -> Else, backtrack (un-do) -> Try next digit.", "B. Fill all cells randomly -> Check validity -> If valid, return true.", "C. Iterate all digits 1-9 -> Find empty cell -> Place digit.", "D. Only check pre-filled cells.", "A"
"SudokuSolver", "The 'satisfiability problem' (SAT) in computer science is related to Sudoku solving. What is this relation?", "A. Sudoku can be formulated as a SAT problem, showing its NP-completeness.", "B. SAT is a special case of Sudoku.", "C. They are completely unrelated.", "D. Sudoku solves SAT problems.", "A"
